date,dp,ep,bm,ntis,tbl,tms,dfy,svar
1997-11-01,-4.125019603722656,-3.172583369520963,0.1807462988,0.0156672081,0.0514,0.010000000000000002,0.005500000000000005,0.00266211
1997-12-01,-4.137092815433343,-3.195884433061569,0.1788008842,0.0155594713,0.0516,0.008599999999999997,0.005600000000000008,0.0022493744
1998-01-01,-4.144099201631061,-3.2074951220501284,0.1788402734,0.0137396363,0.0504,0.0085,0.0058,0.0024688425
1998-02-01,-4.209094578486406,-3.27708755582872,0.1654630971,0.0120563774,0.0509,0.009000000000000001,0.0058,0.0010533477
1998-03-01,-4.254759432029992,-3.3273422859796256,0.181140396,0.0164888614,0.0503,0.009899999999999999,0.006000000000000005,0.0011367858
1998-04-01,-4.257231289080908,-3.3411946545273934,0.1758729222,0.0164053658,0.0495,0.0109,0.006400000000000003,0.001614764
1998-05-01,-4.231704778009526,-3.3270291683078868,0.1791022057,0.0190752061,0.05,0.0092,0.006099999999999994,0.0009588233
1998-06-01,-4.263906551627796,-3.3705732615080324,0.178060606,0.0240105767,0.0498,0.007800000000000001,0.006000000000000005,0.0020973439
1998-07-01,-4.248199926632953,-3.3664446481789687,0.1794381089,0.0253535652,0.0496,0.008800000000000002,0.0059999999999999915,0.0022281758
1998-08-01,-4.086600514930241,-3.2164734604759935,0.2114320916,0.0285190292,0.049,0.005699999999999997,0.006200000000000011,0.009333917
1998-09-01,-4.143135709666517,-3.2846704483513967,0.2032484042,0.0240829091,0.0461,0.005600000000000001,0.006900000000000003,0.0099710169
1998-10-01,-4.219298019060163,-3.3652357327596825,0.1855190768,0.0207400892,0.0396,0.014399999999999996,0.008099999999999996,0.0051715275
1998-11-01,-4.275665957621882,-3.4260201772659844,0.1748468445,0.0220035773,0.0441,0.009399999999999999,0.009300000000000003,0.0019366789
1998-12-01,-4.329440683453013,-3.48421792480604,0.1736113154,0.0200570294,0.0439,0.010299999999999997,0.010100000000000005,0.0032868972
1999-01-01,-4.3644151344692865,-3.518504713066352,0.1703206191,0.0155876993,0.0434,0.0102,0.01050000000000001,0.0033356136
1999-02-01,-4.326416843865045,-3.4798176118368587,0.1712768096,0.0184466675,0.0444,0.0143,0.009899999999999992,0.0034821497
1999-03-01,-4.359314892167221,-3.512043086677689,0.1728971707,0.0206681224,0.0444,0.0148,0.00910000000000001,0.0032135873
1999-04-01,-4.396574946473148,-3.526615204357765,0.1568258764,0.0251812663,0.0429,0.0165,0.008400000000000005,0.002726626
1999-05-01,-4.371311798946327,-3.4791605839841666,0.1602311354,0.0258974347,0.045,0.0165,0.007900000000000004,0.0030856487
1999-06-01,-4.42433827787127,-3.5104824144997897,0.1542274468,0.0188685806,0.0457,0.017000000000000008,0.00789999999999999,0.0024092465
1999-07-01,-4.387865794051987,-3.4543017335073753,0.1587964727,0.0193704415,0.0455,0.0184,0.007599999999999996,0.0016111779
1999-08-01,-4.377699478497794,-3.4249626821985824,0.1562430269,0.0188807383,0.0472,0.0177,0.007500000000000007,0.0027298485
1999-09-01,-4.344860776589405,-3.3734501767951914,0.1636844982,0.0203796791,0.0468,0.017800000000000003,0.00810000000000001,0.0027049432
1999-10-01,-4.40450149156448,-3.402688664981629,0.1576906607,0.0204452369,0.0486,0.016500000000000008,0.008300000000000002,0.0048759751
1999-11-01,-4.422363954036967,-3.3911031346402276,0.1555459671,0.0182804544,0.0507,0.015499999999999993,0.007900000000000004,0.0013542672
1999-12-01,-4.477577782763454,-3.4177709248506307,0.1471672594,0.0178887565,0.052,0.0162,0.006400000000000003,0.0011487749
2000-01-01,-4.423938054878034,-3.3464706997741467,0.15465416,0.0253587807,0.0532,0.013400000000000009,0.005500000000000005,0.0052062998
2000-02-01,-4.402226056187224,-3.307460563045661,0.1670564326,0.027418814,0.0555,0.009100000000000004,0.006100000000000008,0.0030004662
2000-03-01,-4.4931588523750365,-3.3814285123830174,0.1499735618,0.0182913901,0.0569,0.004900000000000002,0.006900000000000003,0.0066783159
2000-04-01,-4.463030952415649,-3.3438231459436056,0.1526004182,0.0119449458,0.0566,0.006400000000000003,0.0076000000000000095,0.0079417469
2000-05-01,-4.442031639960686,-3.3153768796096763,0.1556687311,0.0091785275,0.0579,0.006100000000000001,0.009099999999999997,0.0051854234
2000-06-01,-4.466838016020212,-3.3327821553246055,0.1567779616,0.0071242127,0.0569,0.005299999999999999,0.008099999999999996,0.0023597572
2000-07-01,-4.457511302057062,-3.304943503608637,0.155674151,0.0047122339,0.0596,0.0015000000000000013,0.007000000000000006,0.0020654329
2000-08-01,-4.523640483168055,-3.352635034731566,0.146053064,0.0046746382,0.0609,-0.0015000000000000013,0.007100000000000009,0.0010392529
2000-09-01,-4.475927445490471,-3.286558838244723,0.1537894629,0.0044689258,0.06,0.0011999999999999997,0.007300000000000001,0.0015999952
2000-10-01,-4.472514544008221,-3.3048313721468716,0.1493007889,0.0037442804,0.0611,-0.0011000000000000038,0.007900000000000004,0.0055682093
2000-11-01,-4.390615832894612,-3.24516420981715,0.1572808929,0.0011574522,0.0617,-0.0040999999999999995,0.008300000000000002,0.0032724144
